Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
5h.KillerID_Company_User_LoginHistoryRecords,Chrome 149.0.7827.114,Sprint 5d - KillerID_User Profile 의 Login History records 검증 3 cases (C10092~C10094). ⏳ PENDING — KillerID Bug netkillercom/KillerID-QA#362 (calendar marking 과 backend records sync 깨짐) 의 영향 으로 자동화 실행 시 FAIL (records empty 로 strict verify assert 차단). Bug fix 후 즉시 활용 가능. 검증 패턴: strict verify logic (false PASS 차단) — hasNegativeMessage check + strict Event keyword + record header 검증. RGB blue dominant 매칭 (calendar 의 진짜 colored day 만).,,15-06-2026 10:38:45,15-06-2026 10:40:21,1m - 36.762s,PASSED
,,,,,,,
Test Cases/KillerID_User/C10092_로그인 이력 레코드 검증,Chrome 149.0.7827.114,"[C10092] Verify the Login History records
Role: Domain User
Section: KillerID/User Profile

📋 사전 조건:
- demo3 로 로그인 + Profile 페이지 진입
- Login History popup 열기 가능 (C10091 PASS 조건)

🧪 단계:
1. 'Login History' 버튼 클릭
2. 달력 의 blue colored day (로그인 이력 있는 날) 클릭

✅ 결과값:
- 해당 날짜 의 로그인 이력 records 가 다음 column 으로 표시:
  - Event (Login Success / Failure)
  - IP Address
  - Time

🔧 자동화 노트:
- 🟢 SAFE — verify only, state 변경 없음
- 사전 조건: loginAsDomainUserViaProfile (demo3)
- Spy 재사용: button_Login History, div_Login History (popup), div_May 2026 (calendar), div_18/div_19 (date cells)
- Verify 방법:
  * Spy primary: Login History popup 의 record area 표시 확인
  * JS fallback: document.body.innerText 안 의 Event/IP/Time keyword 검색
    - Event 의 표현: 'Login Success', 'Login Failure', 'Success', 'Failure', '성공', '실패'
    - IP Address: 정규 표현 식 사용 금지 (Rule #15 — Groovy escape) — indexOf 또는 split 사용
      [정수 단순 패턴: '.' 4 부분 으로 split + 각 부분 parseInt 가능 여부]
    - Time: 'AM' 또는 'PM' 또는 ':' 포함 여부
- Cleanup: JS 으로 popup 닫기 (display: none) 또는 closeBrowser
- 신규 spy 가능 (선택): div_LoginHistoryRecordList — 단 JS-based scan 으로 우회 가능",,15-06-2026 10:38:45,15-06-2026 10:39:13,28.379s,PASSED
"TARGET_EMAIL = ""demo3@demo.netkillersoft.com""",Chrome 149.0.7827.114,,,15-06-2026 10:38:45,15-06-2026 10:38:45,0.006s,PASSED
"DEMO3_PLAIN_PW = ""***REDACTED***""",Chrome 149.0.7827.114,,,15-06-2026 10:38:45,15-06-2026 10:38:45,0.007s,PASSED
"PREV_JS = ""\n\tvar all = document.querySelectorAll('a, button, span, th, i, div');\n\tfor (var i = 0; i < all.length; i++) {\n\t\tvar c = all[i]; if (c.offsetParent === null) continue;\n\t\tvar ng = (((c.getAttribute('ng-click') || '') + ' ' + (c.getAttribute('onclick') || ''))).toLowerCase();\n\t\tif (ng.indexOf('prev') !== -1 || ng.indexOf('previous') !== -1 || ng.indexOf('back') !== -1 || ng.indexOf('lastmonth') !== -1) { c.click(); return 'NG_PREV'; }\n\t}\n\tvar arrows = ['<', '‹', '❮', '◄', '«', '⟨', '←', '〈'];\n\tfor (var i = 0; i < all.length; i++) {\n\t\tvar c = all[i]; if (c.offsetParent === null) continue;\n\t\tif (c.children.length !== 0) continue;\n\t\tvar t = (c.textContent || '').trim();\n\t\tfor (var a = 0; a < arrows.length; a++) { if (t === arrows[a]) { c.click(); return 'GLYPH_PREV'; } }\n\t}\n\tfor (var i = 0; i < all.length; i++) {\n\t\tvar c = all[i]; if (c.offsetParent === null) continue;\n\t\tvar cls = ((c.className || '') + '').toLowerCase();\n\t\tif (cls.indexOf('prev') !== -1 || cls.indexOf('back') !== -1) { c.click(); return 'CLASS_PREV'; }\n\t\tvar ic = c.querySelector ? c.querySelector('i, svg') : null;\n\t\tvar icls = ic ? ((((ic.getAttribute && ic.getAttribute('class')) || (ic.className || '')) + '')).toLowerCase() : '';\n\t\tif (icls.indexOf('chevron-left') !== -1 || icls.indexOf('angle-left') !== -1 || icls.indexOf('arrow-left') !== -1 || icls.indexOf('caret-left') !== -1) { c.click(); return 'ICON_PREV'; }\n\t}\n\tvar months = ['january','february','march','april','may','june','july','august','september','october','november','december'];\n\tvar title = null;\n\tfor (var i = 0; i < all.length; i++) {\n\t\tvar c = all[i]; if (c.offsetParent === null) continue;\n\t\tvar t = (c.textContent || '').trim().toLowerCase();\n\t\tif (t.length < 25 && t.indexOf('20') !== -1) {\n\t\t\tfor (var m = 0; m < 12; m++) { if (t.indexOf(months[m]) !== -1) { title = c; break; } }\n\t\t}\n\t\tif (title) break;\n\t}\n\tif (title) {\n\t\tvar sib = title.previousElementSibling;\n\t\tif (sib && sib.offsetParent !== null) { sib.click(); return 'SIBLING_PREV'; }\n\t\tif (title.parentElement) {\n\t\t\tvar k = title.parentElement.children;\n\t\t\tif (k.length && k[0] !== title && k[0].offsetParent !== null) { k[0].click(); return 'FIRSTCHILD_PREV'; }\n\t\t}\n\t}\n\treturn 'NO_PREV';\n""",Chrome 149.0.7827.114,,,15-06-2026 10:38:45,15-06-2026 10:38:45,0.016s,PASSED
"BLUE_COUNT_JS = ""\n\tvar cells = document.querySelectorAll('div.picker-day');\n\tvar n = 0;\n\tfor (var i = 0; i < cells.length; i++) {\n\t\tvar d = cells[i]; if (d.offsetParent === null) continue;\n\t\tvar t = (d.textContent || '').trim();\n\t\tif (!(t.length >= 1 && t.length <= 2 && !isNaN(parseInt(t)) && parseInt(t).toString() === t)) continue;\n\t\tvar bg = window.getComputedStyle(d).backgroundColor || '';\n\t\tvar s = bg.indexOf('('), e = bg.indexOf(')'); if (s === -1 || e === -1) continue;\n\t\tvar p = bg.substring(s + 1, e).split(','); if (p.length < 3) continue;\n\t\tvar r = parseInt(p[0].trim()), g = parseInt(p[1].trim()), b = parseInt(p[2].trim());\n\t\tif (!isNaN(r) && !isNaN(g) && !isNaN(b) && b > r + 20 && b > g + 20) { n++; }\n\t}\n\treturn n;\n""",Chrome 149.0.7827.114,,,15-06-2026 10:38:45,15-06-2026 10:38:45,0.005s,PASSED
"CLICK_BLUE_JS = ""\n\tvar cells = document.querySelectorAll('div.picker-day');\n\tvar blues = [];\n\tfor (var i = 0; i < cells.length; i++) {\n\t\tvar d = cells[i]; if (d.offsetParent === null) continue;\n\t\tvar t = (d.textContent || '').trim();\n\t\tif (!(t.length >= 1 && t.length <= 2 && !isNaN(parseInt(t)) && parseInt(t).toString() === t)) continue;\n\t\tvar bg = window.getComputedStyle(d).backgroundColor || '';\n\t\tvar s = bg.indexOf('('), e = bg.indexOf(')'); if (s === -1 || e === -1) continue;\n\t\tvar p = bg.substring(s + 1, e).split(','); if (p.length < 3) continue;\n\t\tvar r = parseInt(p[0].trim()), g = parseInt(p[1].trim()), b = parseInt(p[2].trim());\n\t\tif (!isNaN(r) && !isNaN(g) && !isNaN(b) && b > r + 20 && b > g + 20) { blues.push(d); }\n\t}\n\tvar idx = __IDX__;\n\tif (idx < blues.length) { blues[idx].click(); return JSON.stringify({clicked: true, day: (blues[idx].textContent || '').trim(), total: blues.length}); }\n\treturn JSON.stringify({clicked: false, total: blues.length});\n""",Chrome 149.0.7827.114,,,15-06-2026 10:38:45,15-06-2026 10:38:45,0.005s,PASSED
"READ_PANEL_JS = ""\n\tvar allText = document.body.innerText || '';\n\tvar lower = allText.toLowerCase();\n\tvar hidx = lower.indexOf('login record as of');\n\tvar scope = (hidx !== -1) ? lower.substring(hidx, hidx + 1500) : '';\n\tvar hasHeader = hidx !== -1;\n\tvar hasNegative = scope.indexOf('no login history') !== -1 || scope.indexOf('no records') !== -1 || allText.indexOf('이력이 없') !== -1;\n\tvar hasSuccess = scope.indexOf('success') !== -1 || scope.indexOf('성공') !== -1;\n\tvar hasFailure = scope.indexOf('failure') !== -1 || scope.indexOf('failed') !== -1 || scope.indexOf('실패') !== -1;\n\tvar hasRows = hasHeader && !hasNegative && (hasSuccess || hasFailure);\n\treturn JSON.stringify({hasHeader: hasHeader, hasNegative: hasNegative, hasSuccess: hasSuccess, hasFailure: hasFailure, hasRows: hasRows});\n""",Chrome 149.0.7827.114,,,15-06-2026 10:38:45,15-06-2026 10:38:45,0.003s,PASSED
try,Chrome 149.0.7827.114,,,15-06-2026 10:38:45,15-06-2026 10:39:12,26.488s,PASSED
