Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
0.Precondition_DomainUsers,Chrome 149.0.7827.114,[Precondition] Collection(0519) 맨 앞 실행 — 도메인 user(demo3/demo5) 를 baseline 으로 강제 복원하여 Cross-RUN 오염(직전 run 의 불완전 teardown 으로 인한 789 잔류/lock)을 self-correct. NON-FATAL (reset 실패해도 후속 suite 진행).,,16-06-2026 06:44:30,16-06-2026 06:48:44,4m - 13.184s,PASSED
,,,,,,,
Test Cases/_Precondition/Reset_DomainUsers_Baseline,Chrome 149.0.7827.114,"[Precondition] Collection 무인 회귀 시작 전 도메인 user 를 baseline 상태로 강제 복원.

목적 (Rule #6 Cross-RUN 오염 방어):
- 직전 run 의 teardown 이 불완전했거나(C10095 가 demo3=789 잔류) demo3 계정이 lock 으로 남은 경우,
  이 precondition 이 Collection 맨 앞에서 admin reset → demo3 = netkiller567! + lock 해제 로 self-correct.
- demo5 (2SV user) 도 동일하게 baseline 복원.

동작:
- AdminActions.resetDomainUserToBaseline('demo3@demo.netkillersoft.com', 'netkiller567!')
- AdminActions.resetDomainUserToBaseline('demo5@demo.netkillersoft.com', 'netkiller567!')

설계:
- NON-FATAL: reset 결과가 RESET_OK 아니어도 throw 안 함 (precondition 이 후속 suite 를 막지 않도록).
  단 결과를 comment 로 명확 기록 → 실패 시 원인 추적.
- AMBIGUOUS 매칭 시 reset 중단(엉뚱한 계정 보호, Rule #17).",,16-06-2026 06:44:31,16-06-2026 06:48:44,4m - 12.926s,PASSED
snap = { java.lang.String label -> ... },Chrome 149.0.7827.114,,,16-06-2026 06:44:32,16-06-2026 06:44:32,0.012s,PASSED
"comment(""[PRECOND] ════════ Collection 시작 전 도메인 user baseline 복원 ════════"")",Chrome 149.0.7827.114,,,16-06-2026 06:44:32,16-06-2026 06:44:32,0.068s,PASSED
try,Chrome 149.0.7827.114,,,16-06-2026 06:44:32,16-06-2026 06:45:00,28.362s,PASSED
delay(2),Chrome 149.0.7827.114,,,16-06-2026 06:45:00,16-06-2026 06:45:02,2.004s,PASSED
try,Chrome 149.0.7827.114,,,16-06-2026 06:45:02,16-06-2026 06:45:37,35.083s,PASSED
delay(2),Chrome 149.0.7827.114,,,16-06-2026 06:45:37,16-06-2026 06:45:39,2.003s,PASSED
try,Chrome 149.0.7827.114,,,16-06-2026 06:45:39,16-06-2026 06:46:07,28.161s,PASSED
delay(2),Chrome 149.0.7827.114,,,16-06-2026 06:46:07,16-06-2026 06:46:09,2.005s,PASSED
try,Chrome 149.0.7827.114,,,16-06-2026 06:46:09,16-06-2026 06:46:44,34.602s,PASSED
delay(2),Chrome 149.0.7827.114,,,16-06-2026 06:46:44,16-06-2026 06:46:46,2.003s,PASSED
try,Chrome 149.0.7827.114,,,16-06-2026 06:46:46,16-06-2026 06:47:22,35.727s,PASSED
delay(2),Chrome 149.0.7827.114,,,16-06-2026 06:47:22,16-06-2026 06:47:24,2.005s,PASSED
try,Chrome 149.0.7827.114,,,16-06-2026 06:47:24,16-06-2026 06:48:44,1m - 19.979s,FAILED
"comment(""[PRECOND] ════════ baseline 복원 완료 — Collection 본 suite 진행 ════════"")",Chrome 149.0.7827.114,,,16-06-2026 06:48:44,16-06-2026 06:48:44,0.002s,PASSED
Start listener action : afterTestCase,Chrome 149.0.7827.114,,,16-06-2026 06:48:44,16-06-2026 06:48:44,0.004s,PASSED
Start listener action : afterTestCase,Chrome 149.0.7827.114,,,16-06-2026 06:48:44,16-06-2026 06:48:44,0.035s,PASSED
