Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
5i.KillerID_Company_User_PasswordAndFooter,Chrome 149.0.7827.114,"Sprint 5e - KillerID_User Profile 의 비밀번호 변경 + Last Password Change 기록 + cookies 배너 + footer 정보 검증 4 cases (C10095~C10098). C10095 는 state-changing (demo3 비밀번호 567 to 789) — setup(STEP0) admin reset 으로 demo3=netkiller567! 사전 보장 + teardown admin reset 으로 567 복원 (self-contained, 다른 suite 오염 없음). 정확 단독 셀 일치(=== EMAIL) 로 진짜 demo3 만 reset (Rule #17). C10096~C10098 은 verify-only. C10098 의 ISO/IEC 27001:2013 은 인증 만료 로 footer 에서 현재 폐기 (정상, core 3+/4 PASS).",,16-06-2026 03:52:35,16-06-2026 03:55:15,2m - 39.775s,PASSED
,,,,,,,
Test Cases/KillerID_User/C10095_프로필에서 비밀번호 변경,Chrome 149.0.7827.114,"[C10095] Change the password via the Profile
Role: Domain User (demo3)
Section: KillerID/User Profile

📋 사전 조건:
- demo3 의 valid password = netkiller567!
- demo3 로 Profile 모드 로그인 (loginAsDomainUserViaProfile)

🧪 단계:
1. 'Change Password' 버튼 클릭
2. valid 'Current Password' 입력 (netkiller567!)
3. valid 'New Password' + 'Confirm New Password' 입력
4. 'Save' 클릭

✅ 결과값:
- 'Password Updated Successfully' alert/메시지 표시
- Start URL 로 redirect (재 로그인 요구 가능)

🔧 자동화 노트:
- 🚨 STATE-CHANGING — demo3 의 password 변경 발생
- ⚠️ MANDATORY Teardown — admin reset 으로 demo3 password 를 netkiller567! 로 복원
  (C10077 teardown 패턴 재사용 — Cross-Suite Contamination 방지)
- NEW_PW (테스트 용) = netkiller789! → teardown 에서 netkiller567! 로 복원
- Verify 방법:
  * Spy primary: 'Password Updated Successfully' 메시지 element
  * JS fallback: document.body.innerText 안 의 'Password Updated' / 'Successfully' / 'Start URL' redirect 확인
  * native alert 가능 — getAlertText 로 'Password Updated Successfully' 확인 후 acceptAlert
- Rule #15 안전: regex 없음, indexOf/split 만 사용
- 신규 Spy 필요 (Gate 3): button_Change Password, input_Current Password, input_New Password, input_Confirm New Password (또는 JS 우회)",,16-06-2026 03:52:35,16-06-2026 03:54:19,1m - 43.514s,PASSED
"TARGET_EMAIL = ""demo3@demo.netkillersoft.com""",Chrome 149.0.7827.114,,,16-06-2026 03:52:36,16-06-2026 03:52:36,0.020s,PASSED
"DEMO3_PLAIN_PW = ""***REDACTED***""",Chrome 149.0.7827.114,,,16-06-2026 03:52:36,16-06-2026 03:52:36,0.004s,PASSED
"NEW_PW = ""***REDACTED***""",Chrome 149.0.7827.114,,,16-06-2026 03:52:36,16-06-2026 03:52:36,0.004s,PASSED
passwordChanged = false,Chrome 149.0.7827.114,,,16-06-2026 03:52:36,16-06-2026 03:52:36,0.007s,PASSED
snap = { java.lang.String label -> ... },Chrome 149.0.7827.114,,,16-06-2026 03:52:36,16-06-2026 03:52:36,0.013s,PASSED
adminResetDemo3 = { java.lang.String phase -> ... },Chrome 149.0.7827.114,,,16-06-2026 03:52:36,16-06-2026 03:52:36,0.004s,PASSED
try,Chrome 149.0.7827.114,,,16-06-2026 03:52:36,16-06-2026 03:53:50,1m - 14.031s,PASSED
Finally,Chrome 149.0.7827.114,,,16-06-2026 03:53:50,16-06-2026 03:54:18,27.464s,PASSED
Start listener action : afterTestCase,Chrome 149.0.7827.114,,,16-06-2026 03:54:18,16-06-2026 03:54:18,0.009s,PASSED
Start listener action : afterTestCase,Chrome 149.0.7827.114,,,16-06-2026 03:54:18,16-06-2026 03:54:19,0.981s,PASSED
,,,,,,,
Test Cases/KillerID_User/C10096_마지막 비밀번호 변경 기록 검증,Chrome 149.0.7827.114,"[C10096] Verify the Last Password Change record
Role: Domain User (demo3)
Section: KillerID/User Profile

📋 사전 조건:
- demo3 로 Profile 모드 로그인
- (이상적) C10095 직후 — 방금 password 변경 발생

🧪 단계:
1. password 변경 (C10095 절차) 또는 Profile 진입
2. browser Back 버튼 클릭 (Start URL 에서 Profile 로 복귀)

✅ 결과값:
- 'Last Password Change' timestamp 가 업데이트 표시 (user timezone 기준)
- timestamp 아래 에 username 표시

🔧 자동화 노트:
- 🟢 SAFE — verify only (단, C10095 의 password 변경 결과 를 관찰)
- 독립 실행 시: 'Last Password Change' 필드 의 존재 + timestamp 형식 + username 표시 검증
- Verify 방법:
  * Spy primary: 'Last Password Change' label + 인접 timestamp/username element
  * JS fallback: document.body.innerText 안 의 'Last Password Change' keyword + 인접 텍스트 의
    시간 표현 (':' 또는 'AM' 또는 'PM' 포함) + username (demo3) 표시 확인
- Rule #15 안전: regex 없음, indexOf/split 만 사용
- Cleanup: closeBrowser (state 변경 없음 — C10095 의 teardown 이 password 복원 담당)",,16-06-2026 03:54:19,16-06-2026 03:54:37,18.628s,PASSED
"TARGET_EMAIL = ""demo3@demo.netkillersoft.com""",Chrome 149.0.7827.114,,,16-06-2026 03:54:19,16-06-2026 03:54:19,0.001s,PASSED
"DEMO3_PLAIN_PW = ""***REDACTED***""",Chrome 149.0.7827.114,,,16-06-2026 03:54:19,16-06-2026 03:54:19,0.001s,PASSED
try,Chrome 149.0.7827.114,,,16-06-2026 03:54:19,16-06-2026 03:54:37,17.951s,PASSED
Finally,Chrome 149.0.7827.114,,,16-06-2026 03:54:37,16-06-2026 03:54:37,0.106s,PASSED
Start listener action : afterTestCase,Chrome 149.0.7827.114,,,16-06-2026 03:54:37,16-06-2026 03:54:37,0.002s,PASSED
Start listener action : afterTestCase,Chrome 149.0.7827.114,,,16-06-2026 03:54:37,16-06-2026 03:54:37,0.434s,PASSED
,,,,,,,
Test Cases/KillerID_User/C10097_쿠키 배너 검증,Chrome 149.0.7827.114,"[C10097] Verify the cookies banner
Role: Domain User (demo3)
Section: KillerID/User Profile

📋 사전 조건:
- cookies 가 비워진 fresh session (incognito 또는 신규 Chrome session)
- demo3 로 Profile 모드 로그인

🧪 단계:
1. browser 를 incognito 모드 로 열기 (자동화: cookies 없는 fresh Chrome session)
2. KillerID Profile 로 로그인

✅ 결과값:
- footer 에 cookies 배너 표시:
  - 텍스트: 'KillerID uses cookies to give you the best experience on our service.'
  - 'OK' 버튼

🔧 자동화 노트:
- 🟢 SAFE — verify only, state 변경 없음
- incognito 우회: 자동화 의 신규 ChromeDriver session 은 항상 cookies 없음 →
  loginAsDomainUserViaProfile (fresh) 으로 cookies 배너 자연 표시
- Verify 방법:
  * Spy primary: footer 의 cookies 배너 element + OK 버튼
  * JS fallback: document.body.innerText 안 의 'cookies' keyword (대소문자 무시) +
    'OK' 버튼 (a/button 중 textContent === 'OK') 존재 확인
- Rule #15 안전: regex 없음, indexOf/toLowerCase 만 사용
- Cleanup: closeBrowser
- ⚠️ 순서 주의: C10098 보다 먼저 — C10097 에서 OK 안 누르고 배너 존재 확인,
  C10098 에서 OK 누른 뒤 footer info 확인",,16-06-2026 03:54:37,16-06-2026 03:54:55,17.593s,PASSED
"TARGET_EMAIL = ""demo3@demo.netkillersoft.com""",Chrome 149.0.7827.114,,,16-06-2026 03:54:38,16-06-2026 03:54:38,0.001s,PASSED
"DEMO3_PLAIN_PW = ""***REDACTED***""",Chrome 149.0.7827.114,,,16-06-2026 03:54:38,16-06-2026 03:54:38,0.001s,PASSED
try,Chrome 149.0.7827.114,,,16-06-2026 03:54:38,16-06-2026 03:54:54,16.702s,PASSED
Finally,Chrome 149.0.7827.114,,,16-06-2026 03:54:54,16-06-2026 03:54:54,0.118s,PASSED
Start listener action : afterTestCase,Chrome 149.0.7827.114,,,16-06-2026 03:54:54,16-06-2026 03:54:54,0.002s,PASSED
Start listener action : afterTestCase,Chrome 149.0.7827.114,,,16-06-2026 03:54:54,16-06-2026 03:54:55,0.670s,PASSED
,,,,,,,
Test Cases/KillerID_User/C10098_푸터 정보 검증,Chrome 149.0.7827.114,"[C10098] Verify the footer info
Role: Domain User (demo3)
Section: KillerID/User Profile

📋 사전 조건:
- cookies 가 비워진 fresh session (incognito 또는 신규 Chrome session)
- demo3 로 Profile 모드 로그인

🧪 단계:
1. browser 를 incognito 모드 로 열기 (자동화: fresh Chrome session)
2. KillerID Profile 로 로그인
3. cookies 배너 의 'OK' 버튼 클릭

✅ 결과값:
- footer 에 다음 정보 표시:
  - Copyright (현재 연도 — 2026)
  - KillerID 현재 version
  - Terms 및 Privacy (링크)
  - Patent No.
  - ISO/IEC 27001:2013 (⚠️ 2026-05 인증 만료 로 현재 footer 에서 폐기 — 사용자 확인. 재인증 예정 시 복원)

🔧 자동화 노트:
- 🟢 SAFE — verify only, state 변경 없음
- incognito 우회: 신규 ChromeDriver session (cookies 없음)
- Verify 방법:
  * Spy primary: footer element + 각 정보 항목
  * JS fallback: document.body.innerText (또는 footer.innerText) 안 의 keyword 확인 —
    - 현재 연도 '2026'
    - 'Terms' + 'Privacy'
    - 'Patent' (Patent No.)
    - 'ISO/IEC 27001' (또는 'ISO' + '27001')
    - version 표현 (KillerID + 버전 숫자 — '.' 포함 토큰)
  * PASS 조건: 위 항목 중 핵심 3+ 표시 (Copyright/연도, Terms+Privacy, ISO 27001)
- Rule #15 안전: regex 없음, indexOf/toLowerCase 만 사용
- Cleanup: closeBrowser",,16-06-2026 03:54:55,16-06-2026 03:55:15,19.820s,PASSED
"TARGET_EMAIL = ""demo3@demo.netkillersoft.com""",Chrome 149.0.7827.114,,,16-06-2026 03:54:55,16-06-2026 03:54:55,0.001s,PASSED
"DEMO3_PLAIN_PW = ""***REDACTED***""",Chrome 149.0.7827.114,,,16-06-2026 03:54:55,16-06-2026 03:54:55,0.001s,PASSED
"CURRENT_YEAR = ""2026""",Chrome 149.0.7827.114,,,16-06-2026 03:54:55,16-06-2026 03:54:55,0.000s,PASSED
try,Chrome 149.0.7827.114,,,16-06-2026 03:54:55,16-06-2026 03:55:14,19.143s,PASSED
Finally,Chrome 149.0.7827.114,,,16-06-2026 03:55:14,16-06-2026 03:55:14,0.097s,PASSED
Start listener action : afterTestCase,Chrome 149.0.7827.114,,,16-06-2026 03:55:14,16-06-2026 03:55:14,0.001s,PASSED
Start listener action : afterTestCase,Chrome 149.0.7827.114,,,16-06-2026 03:55:14,16-06-2026 03:55:15,0.451s,PASSED
